protocolType,FIELD_pipeline,FIELD_plantingDate,FIELD_locationName,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2024-01-26 00:00:00.000000 UTC,San Justo Santa Fe Argentina,VVSENK_SANJUSTO_GRIONI_LATE_F23,-30.826296,-60.591122,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2024-01-26 00:00:00.000000 UTC,San Justo Santa Fe Argentina,VVSENK_SANJUSTO_GRIONI_LATE_F23,-30.826296,-60.591122,DK7210RR2,DSSFP,N/A,100.0,,FTNTEMP
FTN,South,2024-01-26 00:00:00.000000 UTC,San Justo Santa Fe Argentina,VVSENK_SANJUSTO_GRIONI_LATE_F23,-30.826296,-60.591122,DK7272VT3P,DSSFP,N/A,100.0,,FTNTEMP
FTN,South,2024-01-26 00:00:00.000000 UTC,San Justo Santa Fe Argentina,VVSENK_SANJUSTO_GRIONI_LATE_F23,-30.826296,-60.591122,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-06 00:00:00.000000 UTC,Bragado Buenos Aires Argentina,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-06 00:00:00.000000 UTC,Bragado Buenos Aires Argentina,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,DK7210RR2,DSSFP,N/A,2.0,,FTNTEMP
FTN,South,2023-10-06 00:00:00.000000 UTC,Bragado Buenos Aires Argentina,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,DK7272VT3P,DSSFP,N/A,1.0,,FTNTEMP
FTN,South,2023-10-06 00:00:00.000000 UTC,Bragado Buenos Aires Argentina,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-06 00:00:00.000000 UTC,Bragado Buenos Aires Argentina,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-22 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_PILAR_NARDI_LATE_F23,-31.74834,-63.820835,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-22 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_PILAR_NARDI_LATE_F23,-31.74834,-63.820835,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
