protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,BRV8380PWUE,YLD,N/A,1.0,102.52,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,NEXT226PWUE,YLD,N/A,1.0,112.76,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AY6924MQK1,YLD,N/A,1.0,126.83,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,LT720VT3P,YLD,N/A,1.0,126.67,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7270TRE,YLD,N/A,1.0,109.47,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7272TRE,YLD,N/A,1.0,129.96,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7210PRO4,YLD,N/A,1.0,127.29,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,NK842VIPTERA3,YLD,N/A,1.0,130.97,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,NS7921VIP3CL,YLD,N/A,1.0,120.35,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7208TRE,YLD,N/A,1.0,111.49,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AY6923MQK1,YLD,N/A,1.0,109.2,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,VT3P,AX7761VT3P,YLD,N/A,1.0,121.42,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,LT721TRE,YLD,N/A,1.0,112.73,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7447TRE,YLD,N/A,1.0,106.68,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AY7291FHJ2,YLD,N/A,1.0,126.66,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,LT725TRE,YLD,N/A,1.0,127.14,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,LT344TRE,YLD,N/A,1.0,123.09,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7210RR2,YLD,N/A,1.0,115.72,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,VT3P,LT302VT3P,YLD,N/A,1.0,131.55,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,PRO4,DK7220VTPRO4,YLD,N/A,1.0,110.62,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AX7369MQK1,YLD,N/A,1.0,125.81,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,LT723TRE,YLD,N/A,1.0,117.68,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7303TRE,YLD,N/A,1.0,122.95,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK7272VT3P,YLD,N/A,1.0,121.68,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,DK6962VT3P,YLD,N/A,1.0,117.72,,FTNTEMP
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AX7370MQK1,YLD,N/A,1.0,128.46,,FTNTEMP
