protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNTEMP,South,2023.0,2023-10-06 00:00:00.000000 UTC,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,DK7210RR2,PDIP,,2.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-25 00:00:00.000000 UTC,SRUIZ_LABOMBA_CRESUD_F23,-24.77695002,-63.82801003,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,BRV8380PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-05 00:00:00.000000 UTC,SRUIZ_ANTILLA_CUSILLOS_F23,-26.12146899,-64.56881001,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-22 00:00:00.000000 UTC,SRUIZ_FRIAS_SANTACECILIA_F23,-28.51271901,-65.05485506,DK7210PRO4,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTUNT,North,2023.0,2024-01-21 00:00:00.000000 UTC,SRUIZ_ELBORDO_ESPEJO_FFUNG23,-25.82520395,-64.37901402,DK7220VTPRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-22 00:00:00.000000 UTC,SRUIZ_FRIAS_SANTACECILIA_F23,-28.51271901,-65.05485506,DK7210RR2,PDIP,,47.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-19 00:00:00.000000 UTC,SRUIZ_ROSARIO_MIRKO_F23,-25.93489001,-65.07691403,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,DK7210RR2,PDIP,,4.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-22 00:00:00.000000 UTC,CSALO9_TRESISLETAS_MATESA_F23,-26.275047,-60.37330901,DK7210RR2,PDIP,,18.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-02-16 00:00:00.000000 UTC,CSALO9_POZODELTIGRE_TUFROCREA_F23,-25.17024999,-60.41395799,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-09 00:00:00.000000 UTC,SRUIZ_TOROPOZO_BRIZ_F23,-27.104292,-64.72856811,DK7210RR2,PDIP,,95.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-06 00:00:00.000000 UTC,GFKVN_BRAGADO_MOLINA_EARLY_F23,-35.120367,-60.74535,DK7272VT3P,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-02-16 00:00:00.000000 UTC,CSALO9_POZODELTIGRE_TUFROCREA_F23,-25.17024999,-60.41395799,DK7210RR2,PDIP,,20.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-23 00:00:00.000000 UTC,SRUIZ_LASLAJITAS_SANANDRES_F23,-24.68271,-64.05661002,LT785PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-09 00:00:00.000000 UTC,SRUIZ_TOROPOZO_BRIZ_F23,-27.104292,-64.72856811,DK7270TRE,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
